2024-10-11 21:14:27.441 | ERROR    | app.services.chatbot_service:get_chatbot_response:143 - Unexpected error in get_chatbot_response: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "samsung glaxy is bad" can be categorized as Negative. The word "bad" exp\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 21:14:27.443 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "samsung glaxy is bad" can be categorized as Negative. The word "bad" exp\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2024-10-11 21:14:27.445 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: 500: Unexpected error: ('42000', '[42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]String or binary data would be truncated in table \'chatbot.dbo.ChatbotQueries\', column \'sentiment\'. Truncated value: \'The sentiment of the query "samsung glaxy is bad" can be categorized as Negative. The word "bad" exp\'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)') at http://127.0.0.1:8000/chat
2024-10-11 21:23:57.232 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: cannot unpack non-iterable NoneType object
2024-10-11 21:23:57.235 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: cannot unpack non-iterable NoneType object at http://127.0.0.1:8000/chat
2024-10-11 21:33:02.249 | ERROR    | analysis.sentiment_analyzer:analyze_sentiment_per_query:46 - Error during sentiment analysis: cannot access local variable 'sentiment_response' where it is not associated with a value
2024-10-11 21:33:02.366 | ERROR    | app.routers.chat_router:chat_with_bot:65 - Error processing request: cannot unpack non-iterable NoneType object
2024-10-11 21:33:02.368 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: cannot unpack non-iterable NoneType object at http://127.0.0.1:8000/chat
2024-10-11 21:48:49.811 | ERROR    | analysis.sentiment_analyzer:analyze_sentiment_per_query:46 - Error during sentiment analysis: cannot access local variable 'sentiment_response' where it is not associated with a value
2024-10-11 21:48:49.919 | ERROR    | app.routers.chat_router:chat_with_bot:71 - Error processing request: too many values to unpack (expected 3)
2024-10-11 21:48:49.921 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: too many values to unpack (expected 3) at http://127.0.0.1:8000/chat
2024-10-11 21:52:27.311 | ERROR    | analysis.sentiment_analyzer:analyze_sentiment_per_query:46 - Error during sentiment analysis: cannot access local variable 'sentiment_response' where it is not associated with a value
2024-10-11 21:54:21.378 | ERROR    | analysis.sentiment_analyzer:analyze_sentiment_per_query:46 - Error during sentiment analysis: cannot access local variable 'sentiment_response' where it is not associated with a value
2024-10-11 22:35:36.046 | ERROR    | app.routers.chat_router:chat_with_bot:72 - Error processing request: not enough values to unpack (expected 3, got 2)
2024-10-11 22:35:36.048 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: not enough values to unpack (expected 3, got 2) at http://127.0.0.1:8000/chat
2024-10-11 22:38:20.994 | ERROR    | app.routers.chat_router:chat_with_bot:72 - Error processing request: name 'sentiment' is not defined
2024-10-11 22:38:20.995 | ERROR    | app.errors.handlers:http_exception_handler:18 - HTTP error: name 'sentiment' is not defined at http://127.0.0.1:8000/chat
